Index,ID,X Position,Y Position,Z Position,Type,Subnet,Address,Orientation,Primary Axis Sensor Offset,Primary Axis Sensor Sensitivity,Secondary Axis Sensor Offset,Secondary Axis Sensor Sensitivity
44,208,-1109.68005,-576.60498,-89.00000,DAA,4,24,+Y,0,3,0,3
45,209,-1775.48999,-576.60498,-89.00000,DAA,3,26,+Y,0,3,0,3
46,210,-2441.30005,-576.60498,-89.00000,DAA,2,25,+Y,0,3,0,3
47,211,-3107.08008,-576.60498,-89.00000,DAA,1,24,+Y,0,3,0,3
48,212,-3772.88989,-576.60498,-89.00000,DAA,4,25,+X,0,3,0,3
49,214,-776.78302,-1153.20996,-89.00000,DAA,2,26,+Y,0,3,0,3
50,215,-1442.56995,-1153.20996,-89.00000,DAA,1,25,+Y,0,3,0,3
51,216,-2108.37988,-1153.20996,-89.00000,DAA,4,26,NA,0,3,0,3
52,217,-2774.18994,-1153.20996,-89.00000,DAA,3,27,+Y,0,3,0,3
53,218,-3440.00000,-1153.20996,-89.00000,DAA,2,27,+Y,0,3,0,3
54,219,-3900.50000,-997.68701,-89.00000,SAA,3,4,+Y,0,3,0,3
55,220,-443.86499,-1729.81995,-89.00000,DAA,1,26,+Y,0,3,0,3
56,221,-1109.68005,-1729.81995,-89.00000,DAA,4,27,+Y,0,3,0,3
57,222,-1775.48999,-1729.81995,-89.00000,DAA,3,28,+Y,0,3,0,3
58,223,-2441.27002,-1729.81995,-89.00000,DAA,2,28,+Y,0,3,0,3
59,224,-3107.08008,-1729.81995,-89.00000,DAA,1,27,+Y,0,3,0,3
60,225,-3724.44995,-1517.94995,-89.00000,SAA,4,4,NA,0,3,0,3
61,227,-776.78302,-2306.41992,-89.00000,DAA,2,29,+Y,0,3,0,3
62,228,-1442.56995,-2306.41992,-89.00000,DAA,1,28,+X,0,3,0,3
63,229,-2108.37988,-2306.41992,-89.00000,DAA,4,28,+Y,0,3,0,3
64,230,-2774.18994,-2306.41992,-89.00000,DAA,3,29,+Y,0,3,0,3
65,231,-3387.94995,-2167.40991,-89.00000,SAA,2,4,NA,0,3,0,3
66,232,-443.86499,-2883.03003,-89.00000,DAA,1,29,+Y,0,3,0,3
67,233,-1109.68005,-2883.03003,-89.00000,DAA,4,29,+Y,0,3,0,3
68,234,-1775.48999,-2883.03003,-89.00000,DAA,3,30,+Y,0,3,0,3
69,235,-2441.27002,-2883.03003,-89.00000,DAA,2,30,+X,0,3,0,3
70,236,-2939.36011,-2745.17993,-89.00000,SAA,4,5,NA,0,3,0,3
71,237,-221.94501,-3459.62988,-89.00000,DAA,3,31,+Y,0,3,0,3
72,238,-887.72998,-3459.62988,-89.00000,DAA,2,31,+Y,0,3,0,3
73,239,-1553.54004,-3267.42993,-89.00000,SAA,1,5,NA,0,3,0,3
74,240,-2089.72998,-3436.38989,-89.00000,SAA,4,6,NA,0,3,0,3
75,241,-365.73499,-4005.25000,-89.00000,SAA,1,6,NA,0,3,0,3
76,242,-1085.08997,-3872.76001,-89.00000,SAA,3,5,NA,0,3,0,3
77,243,-1604.01001,-3692.78003,-89.00000,SAA,2,5,NA,0,3,0,3
78,301,-776.78302,0.00000,-89.00000,SAA,2,6,NA,0,3,0,3
79,302,-1442.56995,0.00000,-89.00000,DAA,1,30,+Y,0,3,0,3
80,303,-2108.37988,0.00000,-89.00000,DAA,4,30,+Y,0,3,0,3
81,304,-2774.18994,0.00000,-89.00000,DAA,3,32,+Y,0,3,0,3
82,305,-3440.00000,0.00000,-89.00000,DAA,2,32,+Y,0,3,0,3
83,306,-3968.01001,0.00000,-89.00000,SAA,3,6,NA,0,3,0,3
84,307,-443.86499,576.60541,-89.00000,SAA,1,7,NA,0,3,0,3
85,308,-1109.68005,576.60541,-89.00000,DAA,4,31,+Y,0,3,0,3
86,309,-1775.48999,576.60541,-89.00000,DAA,3,33,+Y,0,3,0,3
87,310,-2441.30005,576.60541,-89.00000,DAA,2,33,+Y,0,3,0,3
88,311,-3107.08008,576.60541,-89.00000,DAA,1,31,-Y,0,3,0,3
89,312,-3772.88989,576.60541,-89.00000,DAA,4,32,+X,0,3,0,3
90,313,0.00000,1153.21106,-89.00000,DAA,3,34,+Y,0,3,0,3
91,314,-776.78302,1153.21106,-89.00000,DAA,2,34,+Y,0,3,0,3
92,315,-1442.56995,1153.21106,-89.00000,DAA,1,32,+Y,0,3,0,3
93,316,-2108.37988,1153.21106,-89.00000,DAA,4,33,+Y,0,3,0,3
94,317,-2774.18994,1153.21106,-89.00000,DAA,3,35,+Y,0,3,0,3
95,318,-3440.00000,1153.21106,-89.00000,DAA,2,35,+Y,0,3,0,3
96,319,-3900.50000,997.68658,-89.00000,SAA,3,7,NA,0,3,0,3
97,320,-443.86499,1729.81604,-89.00000,DAA,1,33,+Y,0,3,0,3
98,321,-1109.68005,1729.81604,-89.00000,DAA,4,34,+Y,0,3,0,3
99,322,-1775.48999,1729.81604,-89.00000,DAA,3,36,+Y,0,3,0,3
100,323,-2441.27002,1729.81604,-89.00000,DAA,2,36,+Y,0,3,0,3
101,324,-3107.08008,1729.81604,-89.00000,DAA,1,34,+Y,0,3,0,3
102,325,-3724.44995,1517.95496,-89.00000,SAA,4,7,NA,0,3,0,3
103,326,0.00000,2306.42212,-89.00000,DAA,3,37,+Y,0,3,0,3
104,327,-776.78302,2306.42212,-89.00000,DAA,2,37,+Y,0,3,0,3
105,328,-1442.56995,2306.42212,-89.00000,DAA,1,35,+X,0,3,0,3
106,329,-2108.37988,2306.42212,-89.00000,DAA,4,35,+Y,0,3,0,3
107,330,-2774.18994,2306.42212,-89.00000,DAA,3,38,+Y,0,3,0,3
108,331,-3387.94995,2167.40698,-89.00000,SAA,2,7,NA,0,3,0,3
109,332,-443.86499,2883.02710,-89.00000,DAA,1,36,+Y,0,3,0,3
110,333,-1109.68005,2883.02710,-89.00000,DAA,4,36,+Y,0,3,0,3
111,334,-1775.48999,2883.02710,-89.00000,DAA,3,39,-Y,0,3,0,3
112,335,-2441.27002,2883.02710,-89.00000,DAA,2,38,+X,0,3,0,3
113,336,-2939.36011,2745.18091,-89.00000,SAA,4,8,NA,0,3,0,3
114,337,-221.94501,3459.63208,-89.00000,DAA,3,40,+Y,0,3,0,3
115,338,-887.72998,3459.63208,-89.00000,DAA,2,39,+Y,0,3,0,3
116,339,-1553.54004,3267.43091,-89.00000,SAA,1,8,NA,0,3,0,3
117,340,-2089.72998,3436.39111,-89.00000,SAA,4,9,NA,0,3,0,3
118,341,-365.73499,4005.25000,-89.00000,SAA,1,9,NA,0,3,0,3
119,342,-1085.08997,3872.76294,-89.00000,SAA,3,8,NA,0,3,0,3
120,343,-1604.01001,3692.77905,-89.00000,SAA,2,8,NA,0,3,0,3
121,407,443.86499,576.60541,-89.00000,SAA,1,10,NA,0,3,0,3
122,408,1109.67505,576.60541,-89.00000,DAA,4,37,+Y,0,3,0,3
123,409,1775.48499,576.60541,-89.00000,DAA,3,41,+Y,0,3,0,3
124,410,2441.29590,576.60541,-89.00000,DAA,2,40,+Y,0,3,0,3
125,411,3107.08008,576.60541,-89.00000,DAA,1,37,-Y,0,3,0,3
126,412,3772.89111,576.60541,-89.00000,DAA,4,38,-X,0,3,0,3
127,414,776.78278,1153.21106,-89.00000,DAA,2,41,+Y,0,3,0,3
128,415,1442.56799,1153.21106,-89.00000,DAA,1,38,+Y,0,3,0,3
129,416,2108.37793,1153.21106,-89.00000,DAA,4,39,+Y,0,3,0,3
130,417,2774.18799,1153.21106,-89.00000,DAA,3,42,+Y,0,3,0,3
131,418,3439.99805,1153.21106,-89.00000,DAA,2,42,+Y,0,3,0,3
132,419,3900.50000,997.68658,-89.00000,SAA,3,9,NA,0,3,0,3
133,420,443.86499,1729.81604,-89.00000,DAA,1,39,+Y,0,3,0,3
134,421,1109.67505,1729.81604,-89.00000,DAA,4,40,+Y,0,3,0,3
135,422,1775.48499,1729.81604,-89.00000,DAA,3,43,+Y,0,3,0,3
136,423,2441.27002,1729.81604,-89.00000,DAA,2,43,+Y,0,3,0,3
137,424,3107.08008,1729.81604,-89.00000,DAA,1,40,+Y,0,3,0,3
138,425,3724.45288,1517.95496,-89.00000,SAA,4,10,NA,0,3,0,3
139,427,776.78278,2306.42212,-89.00000,DAA,2,44,+Y,0,3,0,3
140,428,1442.56799,2306.42212,-89.00000,DAA,1,41,-X,0,3,0,3
141,429,2108.37793,2306.42212,-89.00000,DAA,4,41,+Y,0,3,0,3
142,430,2774.18799,2306.42212,-89.00000,DAA,3,44,+Y,0,3,0,3
143,431,3387.95410,2167.40698,-89.00000,SAA,2,9,NA,0,3,0,3
144,432,443.86499,2883.02710,-89.00000,DAA,1,42,+Y,0,3,0,3
145,433,1109.67505,2883.02710,-89.00000,DAA,4,42,+Y,0,3,0,3
146,434,1775.48499,2883.02710,-89.00000,DAA,3,45,-Y,0,3,0,3
147,435,2441.27002,2883.02710,-89.00000,DAA,2,45,-X,0,3,0,3
148,436,2939.36401,2745.18091,-89.00000,SAA,4,11,NA,0,3,0,3
149,437,221.94521,3459.63208,-89.00000,DAA,3,46,+Y,0,3,0,3
150,438,887.72998,3459.63208,-89.00000,DAA,2,46,+Y,0,3,0,3
151,439,1553.54004,3267.43091,-89.00000,SAA,1,11,NA,0,3,0,3
152,440,2089.73389,3436.39111,-89.00000,SAA,4,12,NA,0,3,0,3
153,441,365.73459,4005.25000,-89.00000,SAA,1,12,NA,0,3,0,3
154,442,1085.08801,3872.76294,-89.00000,SAA,3,10,NA,0,3,0,3
155,443,1604.01001,3692.77905,-89.00000,SAA,2,10,NA,0,3,0,3
